id,draw_date,numbers,bonus,type
5f95e38a-72aa-40c7-a9f1-87b7ba63bbb8,2025-03-30T00:00:00,"[10, 60, 13, 31, 87]",,DIGITAL_1
710007bc-8a8a-498b-b151-a4c590c1259f,2025-03-30T11:00:00,"[3, 68, 4, 7, 6]",,RESULTAT_1
a5ac27cf-b277-471a-8f5a-c7f724ab6370,2025-03-30T14:00:00,"[7, 79, 62, 66, 68]",,RESULTAT_2
b26c8075-6f6b-43d2-8035-fb2738a96bb4,2025-03-30T18:00:00,"[55, 17, 10, 71, 83]",,RESULTAT_3
d20bcbf6-cc50-40dc-90e5-36e977ed569f,2025-03-30T21:00:00,"[52, 83, 3, 13, 36]",,DIGITAL_2
a6da8e51-c2c1-4481-8a5b-5eb17d98d1fc,2025-03-29T00:00:00,"[49, 46, 28, 71, 32]",,DIGITAL_1
6515f119-29ed-40eb-8f38-a64b4c54c6c0,2025-03-29T11:00:00,"[78, 45, 18, 88, 63]",,RESULTAT_1
17f6dcfc-5e0b-45e3-b0c6-ffaf12865840,2025-03-29T14:00:00,"[31, 61, 36, 70, 20]",,RESULTAT_2
a7f1eda0-a9d2-4a79-ab88-ecf8276f4310,2025-03-29T18:00:00,"[43, 72, 1, 39, 32]",,RESULTAT_3
3057aeda-5ea0-4858-88a5-36cf674199f4,2025-03-29T21:00:00,"[27, 47, 2, 49, 66]",,DIGITAL_2
2b33e27e-a137-47e8-91ba-f426dcb1f047,2025-03-28T00:00:00,"[33, 56, 82, 17, 12]",,DIGITAL_1
a7941747-bff6-41d9-a38c-dea6e0313285,2025-03-28T11:00:00,"[63, 68, 57, 64, 21]",,RESULTAT_1
5dd9df02-4345-479c-ab80-d8f16de5d322,2025-03-28T14:00:00,"[29, 69, 10, 68, 51]",,RESULTAT_2
4a219c76-e5f7-487c-b83d-c6932b27c0bd,2025-03-28T18:00:00,"[50, 36, 33, 61, 85]",,RESULTAT_3
80d6b6ae-95c9-4bd1-807f-1c23244e26ee,2025-03-28T21:00:00,"[43, 2, 41, 18, 12]",,DIGITAL_2
e059921f-3906-429e-817b-6788807929a2,2025-03-27T00:00:00,"[69, 86, 90, 67, 27]",,DIGITAL_1
0c7bd158-bb2c-4ec0-8e86-e884b5679be3,2025-03-27T11:00:00,"[21, 44, 49, 51, 83]",,RESULTAT_1
9461e14f-cd58-48dd-ab0e-b98ead683d68,2025-03-27T14:00:00,"[38, 15, 70, 34, 35]",,RESULTAT_2
2efdaea1-26d8-46f1-b6c4-70bdcb413e35,2025-03-27T18:00:00,"[77, 62, 15, 75, 5]",,RESULTAT_3
636ddfb5-c5b0-4758-898b-1c465e0b5499,2025-03-27T21:00:00,"[31, 50, 88, 48, 9]",,DIGITAL_2
2ebf1354-0dab-41f4-bff3-2aa4fc680d16,2025-03-26T00:00:00,"[73, 6, 3, 81, 63]",,DIGITAL_1
462c1fd8-a34d-4112-82a4-27fb0005540e,2025-03-26T11:00:00,"[49, 60, 79, 9, 47]",,RESULTAT_1
fcdb03e1-846e-4871-a1e1-965e1308a11f,2025-03-26T14:00:00,"[14, 46, 72, 4, 43]",,RESULTAT_2
ca30f23a-5b02-4bf8-8075-98c95f3de935,2025-03-26T18:00:00,"[26, 25, 49, 59, 70]",,RESULTAT_3
0984c522-04da-4d34-9574-1e39e438d970,2025-03-26T21:00:00,"[75, 85, 26, 47, 48]",,DIGITAL_2
0053588c-f002-4d6d-b065-ce1016d188e7,2025-03-25T00:00:00,"[24, 32, 76, 87, 41]",,DIGITAL_1
cdcde71e-3ff2-4a0e-ba8f-02f6abd2343e,2025-03-25T11:00:00,"[69, 51, 25, 88, 74]",,RESULTAT_1
c6537366-0066-4ce6-8794-b7ba54d231bf,2025-03-25T14:00:00,"[49, 62, 10, 24, 54]",,RESULTAT_2
dfcf87aa-de47-4db4-94a9-5250aff6f929,2025-03-25T18:00:00,"[88, 56, 79, 50, 82]",,RESULTAT_3
dffddca4-afe8-4f89-a709-ca87774e82eb,2025-03-25T21:00:00,"[62, 22, 37, 46, 76]",,DIGITAL_2
9999be46-9ea5-445d-bbb7-62a0b970295b,2025-03-24T00:00:00,"[2, 55, 74, 64, 31]",,DIGITAL_1
d9c9bbc4-2b47-4b63-9111-e005f3134d5b,2025-03-24T11:00:00,"[18, 73, 53, 55, 37]",,RESULTAT_1
a114fa2b-e4c7-45ec-8895-88abb71d095a,2025-03-24T14:00:00,"[27, 77, 8, 65, 37]",,RESULTAT_2
dc597b46-9ab3-4344-9093-08d290ef29c7,2025-03-24T18:00:00,"[40, 68, 75, 5, 1]",,RESULTAT_3
7de9c72e-2e44-42a1-bb8e-ad6e53355520,2025-03-24T21:00:00,"[1, 12, 13, 14, 60]",,DIGITAL_2
5477c02c-fad5-48c7-9e70-0699dec47ff3,2025-03-23T00:00:00,"[23, 20, 40, 12, 22]",,DIGITAL_1
e3ef75b1-3fb9-49cd-844d-d83c4766641d,2025-03-23T11:00:00,"[70, 40, 63, 39, 90]",,RESULTAT_1
685c7cd0-9b65-402f-b34e-a1f5b3d9ee31,2025-03-23T14:00:00,"[84, 31, 71, 27, 67]",,RESULTAT_2
4f53d02c-656c-4482-a834-f7c65064206c,2025-03-23T18:00:00,"[38, 77, 85, 58, 50]",,RESULTAT_3
ec94dd79-176d-4437-8486-666a577f70b7,2025-03-23T21:00:00,"[45, 86, 27, 60, 48]",,DIGITAL_2
823df887-87ca-4988-b850-e97838ebcb05,2025-03-22T00:00:00,"[67, 47, 1, 81, 13]",,DIGITAL_1
575f038c-246e-47c7-8d0f-8b8655a284a8,2025-03-22T11:00:00,"[57, 61, 47, 63, 81]",,RESULTAT_1
1934961c-5b5b-479e-9c3f-b0f37ec8a20e,2025-03-22T14:00:00,"[59, 56, 15, 1, 55]",,RESULTAT_2
3d6601d2-c0bb-4318-86e3-d50597f4913d,2025-03-22T18:00:00,"[57, 26, 45, 22, 30]",,RESULTAT_3
