id,draw_date,numbers,bonus,type
d4ab7396-f5c4-49d5-9ec0-8c7ec4c6a839,2025-03-30T00:00:00,"[10, 60, 13, 31, 87]",,DIGITAL_1
c1c4a0b2-57d1-4949-a7f2-0f6cb8bd3364,2025-03-30T11:00:00,"[3, 68, 4, 7, 6]",,RESULTAT_1
d831818d-1267-4fd0-866d-8a076c5244c1,2025-03-30T14:00:00,"[7, 79, 62, 66, 68]",,RESULTAT_2
adf31b59-52d9-47f5-a4c1-abb0b32b1b77,2025-03-30T18:00:00,"[55, 17, 10, 71, 83]",,RESULTAT_3
49f9162e-2864-4526-805a-31ad2a8df874,2025-03-30T21:00:00,"[52, 83, 3, 13, 36]",,DIGITAL_2
ef4b35bf-1ef9-4ebb-8709-d7271138b4e0,2025-03-29T00:00:00,"[49, 46, 28, 71, 32]",,DIGITAL_1
09558dc9-ed2a-4d19-9a05-c2fd550a6493,2025-03-29T11:00:00,"[78, 45, 18, 88, 63]",,RESULTAT_1
d93fad72-11e5-4c9c-8d41-d2828e341cd1,2025-03-29T14:00:00,"[31, 61, 36, 70, 20]",,RESULTAT_2
6989d984-61c5-4d48-b589-a50de42878ab,2025-03-29T18:00:00,"[43, 72, 1, 39, 32]",,RESULTAT_3
fb812286-d32e-4d95-8b7c-3d990baee0e2,2025-03-29T21:00:00,"[27, 47, 2, 49, 66]",,DIGITAL_2
47a9233c-f2d7-4d18-85a4-70b5fdf325b2,2025-03-28T00:00:00,"[33, 56, 82, 17, 12]",,DIGITAL_1
d73156c1-9251-476d-82bb-2743f27a0b97,2025-03-28T11:00:00,"[63, 68, 57, 64, 21]",,RESULTAT_1
c29c9dfc-ff0f-4abd-bde5-5eda0bade29e,2025-03-28T14:00:00,"[29, 69, 10, 68, 51]",,RESULTAT_2
a53e67c2-cbf2-4805-9383-de3107a241be,2025-03-28T18:00:00,"[50, 36, 33, 61, 85]",,RESULTAT_3
21dc50e4-2416-4d1d-983f-62eda9127219,2025-03-28T21:00:00,"[43, 2, 41, 18, 12]",,DIGITAL_2
b1d56db6-da8f-476a-8c41-f51e5fca8b56,2025-03-27T00:00:00,"[69, 86, 90, 67, 27]",,DIGITAL_1
dddcd717-26fa-4bcc-bb60-aa9c62cbbfed,2025-03-27T11:00:00,"[21, 44, 49, 51, 83]",,RESULTAT_1
8e5a378e-6510-4058-ade5-aaff2c5e0fec,2025-03-27T14:00:00,"[38, 15, 70, 34, 35]",,RESULTAT_2
71c5d258-f5cc-47db-8b77-2a1376a2f6e4,2025-03-27T18:00:00,"[77, 62, 15, 75, 5]",,RESULTAT_3
37617104-8810-4f4c-a2db-1e5b1d650865,2025-03-27T21:00:00,"[31, 50, 88, 48, 9]",,DIGITAL_2
115b344d-983d-4310-b1f2-c50211336b66,2025-03-26T00:00:00,"[73, 6, 3, 81, 63]",,DIGITAL_1
a592ffac-e594-460c-b70a-3507a1cd9920,2025-03-26T11:00:00,"[49, 60, 79, 9, 47]",,RESULTAT_1
718d1b29-b09b-40ed-bc13-5a8908443af5,2025-03-26T14:00:00,"[14, 46, 72, 4, 43]",,RESULTAT_2
2c2dcb71-f9ea-40a5-830d-6ac5b6f29b73,2025-03-26T18:00:00,"[26, 25, 49, 59, 70]",,RESULTAT_3
37ac3b74-99ed-4721-8fe9-35d498ca99d6,2025-03-26T21:00:00,"[75, 85, 26, 47, 48]",,DIGITAL_2
988416b7-7c5b-484b-83e8-efc42c9e192e,2025-03-25T00:00:00,"[24, 32, 76, 87, 41]",,DIGITAL_1
4e798305-2ddd-4797-b8ed-88172ac986b1,2025-03-25T11:00:00,"[69, 51, 25, 88, 74]",,RESULTAT_1
e98985e8-bfe4-47f7-83a2-4f82cf95493c,2025-03-25T14:00:00,"[49, 62, 10, 24, 54]",,RESULTAT_2
ab8a8841-73bc-417f-8566-a5bba98a3379,2025-03-25T18:00:00,"[88, 56, 79, 50, 82]",,RESULTAT_3
0f46d21d-b8ea-4c12-8d08-3d43f69041df,2025-03-25T21:00:00,"[62, 22, 37, 46, 76]",,DIGITAL_2
fdb76198-19fb-4555-bf7a-9e9de9a6ba44,2025-03-24T00:00:00,"[2, 55, 74, 64, 31]",,DIGITAL_1
67eef843-a97b-4508-a36a-9034eed99462,2025-03-24T11:00:00,"[18, 73, 53, 55, 37]",,RESULTAT_1
ddd216fb-05be-4231-bddd-3a62e5dcfd1e,2025-03-24T14:00:00,"[27, 77, 8, 65, 37]",,RESULTAT_2
ec55c3e9-d79a-447c-8528-947414980485,2025-03-24T18:00:00,"[40, 68, 75, 5, 1]",,RESULTAT_3
f48ad28d-d065-415b-a596-0abab2e294fc,2025-03-24T21:00:00,"[1, 12, 13, 14, 60]",,DIGITAL_2
eed747ef-eea9-4abc-b2c2-348272f0368a,2025-03-23T00:00:00,"[23, 20, 40, 12, 22]",,DIGITAL_1
a54177e4-db1f-4c8e-ace4-dd2a31443d74,2025-03-23T11:00:00,"[70, 40, 63, 39, 90]",,RESULTAT_1
f631a1be-d9bf-423a-a87d-c736d4652eab,2025-03-23T14:00:00,"[84, 31, 71, 27, 67]",,RESULTAT_2
a7b050c4-6ce2-41e7-9888-5dc4099bd5a0,2025-03-23T18:00:00,"[38, 77, 85, 58, 50]",,RESULTAT_3
1b92d4a0-713a-47fa-afda-58088f7aa124,2025-03-23T21:00:00,"[45, 86, 27, 60, 48]",,DIGITAL_2
36751d64-12f4-4ed4-91df-b092db9b4947,2025-03-22T00:00:00,"[67, 47, 1, 81, 13]",,DIGITAL_1
20b5a63c-cc3e-4fe9-89cc-7adb94b415c0,2025-03-22T11:00:00,"[57, 61, 47, 63, 81]",,RESULTAT_1
d087c26a-ed57-43eb-b86c-901e270d109f,2025-03-22T14:00:00,"[59, 56, 15, 1, 55]",,RESULTAT_2
1480c9d8-669c-4f53-998b-26e7934a1b8f,2025-03-22T18:00:00,"[57, 26, 45, 22, 30]",,RESULTAT_3
1136466a-cfc6-4905-ab0a-6cdd657bf882,2025-03-22T21:00:00,"[30, 8, 69, 89, 68]",,DIGITAL_2
efb04e74-67cc-4078-bdb6-976f7ff782ce,2025-03-21T00:00:00,"[40, 53, 33, 66, 24]",,DIGITAL_1
fa2556b5-cc6f-4107-91d3-561b1b3c0d71,2025-03-21T11:00:00,"[33, 60, 29, 4, 49]",,RESULTAT_1
06d02ea7-700e-4b8c-8b50-f6206a28dc38,2025-03-21T14:00:00,"[67, 86, 90, 30, 47]",,RESULTAT_2
0d6af841-9d8d-4ce9-a5c2-11e6101682f0,2025-03-21T18:00:00,"[1, 41, 79, 44, 10]",,RESULTAT_3
66edbf32-b447-44a4-8338-4050d5221b46,2025-03-21T21:00:00,"[1, 64, 70, 55, 86]",,DIGITAL_2
da68a59d-4667-4ceb-8501-631d2606841f,2025-03-20T00:00:00,"[30, 73, 31, 51, 90]",,DIGITAL_1
fc89f8ec-e085-4bca-840a-1bf34f54b621,2025-03-20T11:00:00,"[30, 79, 90, 89, 7]",,RESULTAT_1
607cfd28-6f26-4dff-a6ef-04f68cc81338,2025-03-20T14:00:00,"[71, 15, 6, 82, 63]",,RESULTAT_2
c6fb4fd6-738f-463e-b997-c5c9840107ed,2025-03-20T18:00:00,"[9, 40, 44, 14, 1]",,RESULTAT_3
6aa0ec20-f021-4369-9d1a-33df55fb00bf,2025-03-20T21:00:00,"[43, 3, 80, 5, 37]",,DIGITAL_2
b27d0af0-ecc3-4edd-8f95-855c5b158207,2025-03-19T00:00:00,"[68, 90, 48, 55, 38]",,DIGITAL_1
32710d64-a92b-433f-ad08-3c1ed785935e,2025-03-19T11:00:00,"[70, 62, 48, 8, 21]",,RESULTAT_1
86d2038d-5e0b-46c1-9177-7cf4e2142dbc,2025-03-19T14:00:00,"[37, 41, 28, 1, 23]",,RESULTAT_2
9d0472ae-1bb5-4f14-9df4-bdca47e2b87e,2025-03-19T18:00:00,"[59, 2, 78, 15, 89]",,RESULTAT_3
f2e82bd3-2573-4f25-bd74-66fa0118cb58,2025-03-19T21:00:00,"[90, 72, 48, 46, 50]",,DIGITAL_2
48c9ea9e-c54d-455c-a9fb-d8c300a3c890,2025-03-18T00:00:00,"[86, 36, 81, 26, 57]",,DIGITAL_1
0fbb15d3-e10a-4f66-95a4-97278c748ece,2025-03-18T11:00:00,"[67, 65, 89, 80, 56]",,RESULTAT_1
76ed5397-7a24-41a8-8591-ca4151ec5f10,2025-03-18T14:00:00,"[44, 63, 45, 84, 21]",,RESULTAT_2
b119f2b1-9807-4182-a84a-aa359aed831c,2025-03-18T18:00:00,"[28, 75, 84, 1, 73]",,RESULTAT_3
21d3faf0-97b7-4ef9-acdb-39bb911ac756,2025-03-18T21:00:00,"[72, 41, 4, 66, 28]",,DIGITAL_2
94e35675-a1fa-4aaa-bd6e-0db14e2773cf,2025-03-17T00:00:00,"[71, 39, 83, 84, 23]",,DIGITAL_1
5f4c70a2-997a-4816-a1dc-972d75d9fbeb,2025-03-17T11:00:00,"[37, 81, 30, 63, 32]",,RESULTAT_1
6a3373d8-2ed3-45c9-9b7f-1cd397939255,2025-03-17T14:00:00,"[50, 14, 64, 18, 38]",,RESULTAT_2
948ebcd2-c758-419a-bdec-126a81eeea36,2025-03-17T18:00:00,"[65, 28, 61, 88, 30]",,RESULTAT_3
b4da1b71-8d5f-46c5-8c6f-6f403f518549,2025-03-17T21:00:00,"[43, 27, 76, 54, 63]",,DIGITAL_2
262367f6-80a6-408a-be35-078dc470e5ca,2025-03-16T00:00:00,"[47, 53, 78, 49, 15]",,DIGITAL_1
fba01bbb-7d40-4831-9921-f4bdddc87fd1,2025-03-16T11:00:00,"[12, 63, 90, 60, 9]",,RESULTAT_1
5ee2bbd6-1f95-404e-b3a0-98f97e966261,2025-03-16T14:00:00,"[87, 2, 17, 34, 58]",,RESULTAT_2
91a948a9-cc52-42a5-83e8-1ed4ca820d6b,2025-03-16T18:00:00,"[75, 34, 33, 19, 79]",,RESULTAT_3
f4ec6834-ed3d-4373-81ed-d5d1093c0f59,2025-03-16T21:00:00,"[45, 4, 85, 23, 73]",,DIGITAL_2
84e7c0ad-c453-484c-9900-8f10036774a1,2025-03-15T00:00:00,"[59, 71, 29, 42, 54]",,DIGITAL_1
29c482df-04d8-4478-8fa2-0280476391e3,2025-03-15T11:00:00,"[87, 49, 44, 7, 72]",,RESULTAT_1
186337df-00ca-43aa-a33f-d41ca59f6bff,2025-03-15T14:00:00,"[3, 28, 26, 90, 2]",,RESULTAT_2
5c36899a-3497-4d10-9bf0-8a40fedf22ee,2025-03-15T18:00:00,"[11, 81, 16, 66, 21]",,RESULTAT_3
4f863c5d-c5fd-422f-a606-f5f9ee53c899,2025-03-15T21:00:00,"[49, 32, 46, 70, 59]",,DIGITAL_2
5b5d7a93-c6e9-4ae2-b1fd-f0b5a0a4e343,2025-03-14T00:00:00,"[76, 86, 62, 44, 28]",,DIGITAL_1
bcbfad59-3cfd-4d84-a7b0-82de9a98692f,2025-03-14T11:00:00,"[67, 63, 47, 1, 54]",,RESULTAT_1
258916ac-9c1a-444f-9754-df9f76421bb0,2025-03-14T14:00:00,"[41, 42, 61, 76, 22]",,RESULTAT_2
